date,type,ticker,quantity,price,fees,transact_val,last_occurrence,cashflow,prev_units,cml_units,prev_cost,cml_cost,cost_transact,cost_unit,gain_loss,yield,cml_cashflow,avg_price
2022-11-08,Buy,VET,2100.0,50.33,1.5,105693.0,0,-105693.0,0.0,2100.0,0.0,105693.0,0.0,0.0,0.0,0.0,1342037.94,50.33
2022-11-08,Buy,HBAR,250.0,13.14,0.39,3285.0,0,-3285.0,0.0,250.0,0.0,3285.0,0.0,0.0,0.0,0.0,1345322.94,13.14
2022-11-08,Buy,ONE,766.0,13.49,0.4,10333.34,3,-10333.34,946.0,1712.0,0.0,0.0,0.0,0.0,0.0,0.0,1355656.28,0.0
2022-11-19,Buy,USD,15.0,15.0,0.45,225.0,7,-225.0,105.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1355881.28,0.0
2022-12-03,Buy,USD,15.0,15.0,0.45,225.0,6,-225.0,90.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,1356106.28,0.0
2022-12-17,Buy,USD,15.0,15.0,0.45,225.0,5,-225.0,75.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1356331.28,0.0
2022-12-31,Buy,USD,15.0,15.0,0.45,225.0,4,-225.0,60.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1356556.28,0.0
2023-01-14,Buy,USD,15.0,15.0,0.45,225.0,2,-225.0,45.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1356781.28,0.0
2023-01-20,Buy,ONE,946.0,15.51,0.46,14672.46,0,-14672.46,0.0,946.0,0.0,14672.46,0.0,0.0,0.0,0.0,1371453.74,15.51
2023-01-28,Buy,USD,15.0,15.0,0.45,225.0,1,-225.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1371678.74,0.0
2023-02-11,Buy,USD,15.0,15.0,0.45,225.0,0,-225.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1371903.74,0.0
2023-02-25,Buy,USD,15.0,15.0,0.45,225.0,0,-225.0,0.0,15.0,0.0,225.0,0.0,0.0,0.0,0.0,1372128.74,15.0
