"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
03/29/2021 04:06:05,Buy,,0.00527552,ETH,2.08382691,10.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
03/31/2021 19:26:07,Buy,,24.77936465,MATIC,79.12551528,10.00,Coinbase - MATIC Wallet,,,Bought Polygon Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Polygon Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
03/31/2021 23:57:36,Buy,,46.76156215,MANA,46.76156215,50.00,Coinbase - MANA Wallet,,,Bought Decentraland Using Chase - TOTAL CHECKING *****6925,50.00,USD,,,Coinbase - Cash (USD),,,Bought Decentraland Using Chase - TOTAL CHECKING *****6925,1.99,USD,,
04/01/2021 00:04:11,Trade,,7.41839800,ADA,7.41839800,8.85,Coinbase - ADA Wallet,,,Converted to Cardano Using BTC Wallet,0.00015300,BTC,0.00510578,9.39,Coinbase - BTC Wallet,,,Converted to Cardano Using BTC Wallet,,,-0.54,
04/01/2021 00:19:25,Transfer,,248.00000000,ADA,255.41839800,,Coinbase - ADA Wallet,,,Received Cardano From Cardano address,250.00000000,ADA,50.00000000,,Imported Wallet - Crypto.com Wallet - ADA,,,Withdraw ADA,,,,
04/02/2021 14:57:16,Receive,,0.00681000,ATOM,6.35876800,0.14,Coinbase - ATOM Wallet,,Staked,Cosmos reward From Coinbase,,,,,,,,,,,,
04/03/2021 08:17:58,Buy,,0.00015051,BTC,0.00525629,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
04/05/2021 04:56:48,Buy,,0.00442978,ETH,2.08825669,10.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
04/05/2021 19:02:27,Trade,,98.83132664,MANA,145.59288879,98.06,Coinbase - MANA Wallet,,,Converted to Decentraland Using ETH Wallet,0.04762381,ETH,2.04063288,89.30,Coinbase - ETH Wallet,,,Converted to Decentraland Using ETH Wallet,,,8.76,
04/09/2021 12:02:01,Receive,,0.00268700,ATOM,6.36145500,0.06,Coinbase - ATOM Wallet,,Staked,Cosmos reward From Coinbase,,,,,,,,,,,,
04/10/2021 08:02:00,Buy,,0.00014813,BTC,0.00540442,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
04/12/2021 04:33:39,Buy,,0.00416392,ETH,2.04479680,10.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
04/13/2021 01:22:38,Trade,,65.06676000,USDm,65.06676000,70.94,Imported Wallet - Crypto.com Wallet - USDm,,,ADA -> USDM,50.00000000,ADA,0.00000000,56.79,Imported Wallet - Crypto.com Wallet - ADA,,,ADA -> USDM,,,14.15,
04/13/2021 01:26:39,Trade,,481.00000000,VET,,74.43,Imported Wallet - Crypto.com Wallet - VET,,,USDM -> VET,64.98355300,USDm,0.08320700,70.85,Imported Wallet - Crypto.com Wallet - USDm,,,USDM -> VET,,,3.58,
04/16/2021 13:53:53,Buy,,17.33330900,ADA,272.75170700,25.00,Coinbase - ADA Wallet,,,Bought Cardano Using Chase - TOTAL CHECKING *****6925,25.00,USD,,,Coinbase - Cash (USD),,,Bought Cardano Using Chase - TOTAL CHECKING *****6925,1.49,USD,,
04/16/2021 20:30:17,Receive,,0.00865800,ATOM,6.37011300,0.23,Coinbase - ATOM Wallet,,Staked,Cosmos reward From Coinbase,,,,,,,,,,,,
04/16/2021 23:34:16,Trade,,44.38370600,USDC,44.38370600,47.00,Imported Wallet - Crypto.com Wallet - USDC,,,VET -> USDC,200.00000000,VET,,30.95,Imported Wallet - Crypto.com Wallet - VET,,,VET -> USDC,,,16.05,
04/17/2021 02:59:10,Trade,,0.00047158,BTC,0.00587600,30.00,Coinbase - BTC Wallet,,,Converted from Decentraland Using MANA Wallet,23.56295432,MANA,122.02993447,25.19,Coinbase - MANA Wallet,,,Converted from Decentraland Using MANA Wallet,,,4.81,
04/17/2021 03:02:45,Trade,,0.00141655,BTC,0.00729255,90.00,Coinbase - BTC Wallet,,,Converted from Ethereum Using ETH Wallet,0.03613108,ETH,2.00866572,68.42,Coinbase - ETH Wallet,,,Converted from Ethereum Using ETH Wallet,,,21.58,
